timestamp,bot_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,view_yaw,view_pitch,health,armor,is_stuck,is_on_ladder,is_in_water,has_enemy,enemy_pos_x,enemy_pos_y,enemy_pos_z,enemy_distance,enemy_health,enemy_visible,time_since_enemy_seen,team_id,teammates_nearby,enemies_nearby,current_task,hunt_range,aggression_level,target_present,move_forward,move_right,turn_yaw,turn_pitch,attack_primary,attack_secondary,task_switch,jump,duck,walk,confidence,immediate_reward,total_reward
341.25,fury16,3000.68,45.042,-83.748,-1.0385,1.8204,-5.97684,-80.6804,-6.26303,3000,0,0,0,0,0,0,0,0,0,0,0,999,0,3,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
341.4,fury16,3001.5,50.514,-85.5009,11.1909,60.22,0,-81.327,-6.29323,3000,0,0,0,0,0,0,0,0,0,0,0,999,0,3,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
341.445,fury16,3001.51,53.7231,-85.6085,2.95711,66.4407,-13.6999,-81.6768,-6.51914,3000,0,0,0,0,0,0,0,0,0,0,0,999,0,3,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
458.331,fury16,-395.026,184.755,68.0312,0,0,0,21.2379,1.32311,1904,0,0,0,0,0,0,0,0,0,0,0,999,0,5,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
522.791,fury16,-786,-82,140.031,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
522.821,fury16,-785.318,-81.7519,140.031,21.9761,7.9913,0,5.82905,0,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
522.85,fury16,-784.704,-81.5289,140.031,29.2001,10.6182,0,6.31477,0,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
522.879,fury16,-783.337,-81.0317,140.031,37.8955,13.7801,0,4.25766,0,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
522.908,fury16,-782.495,-80.7254,140.031,40.1139,14.5868,0,-0.342291,0,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
522.933,fury16,-780.957,-80.1663,140.031,40.3466,14.6714,0,-7.48507,0,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
536.55,fury16,-188.205,108.779,68.0312,-191.494,301.889,0,-73.0276,-0.00183765,1625,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,4,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
536.591,fury16,-197.451,122.383,68.0312,-204.702,293.907,0,-70.2279,2.80233,1625,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,4,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
536.633,fury16,-204.819,132.257,68.0312,-219.747,288.389,0,-62.0727,10.8146,1625,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
579.574,fury16,3149.38,317.926,54.0114,0,0,0,-96.9593,-3.54326,100,0,0,0,0,1,2979.48,-1044.54,132.031,1375.23,100,1,0.0124512,0,0,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
