timestamp,bot_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,view_yaw,view_pitch,health,armor,is_stuck,is_on_ladder,is_in_water,has_enemy,enemy_pos_x,enemy_pos_y,enemy_pos_z,enemy_distance,enemy_health,enemy_visible,time_since_enemy_seen,team_id,teammates_nearby,enemies_nearby,current_task,hunt_range,aggression_level,target_present,move_forward,move_right,turn_yaw,turn_pitch,attack_primary,attack_secondary,task_switch,jump,duck,walk,confidence,immediate_reward,total_reward
850.638,intangible,-447.977,-261.975,68.0312,0,0,0,0.0516772,0.0358279,75,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
885.696,intangible,-340.747,1386.59,68.0312,120.567,18.276,0,-95.0511,-0.11123,75,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1158.94,intangible,2593.8,-238.712,215.972,-137.758,214.657,0,149.83,11.263,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.04,intangible,2579,-217.811,214.202,-151.973,202.226,0,150.39,11.3944,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.06,intangible,2576.38,-214.403,213.914,-154.026,200.422,0,150.593,11.4352,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.09,intangible,2570.41,-206.9,213.279,-158.228,196.551,0,150.701,11.4705,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.12,intangible,2567.04,-202.816,212.933,-160.327,194.486,0,150.788,11.5077,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.16,intangible,2560.84,-195.524,212.316,-164.038,191.053,0,151.076,11.5753,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.2,intangible,2553.84,-187.615,212.031,-167.712,187.446,0,151.271,11.6478,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1159.24,intangible,2546.68,-179.849,212.031,-171.139,184.056,0,151.46,11.7335,1238,0,0,0,0,0,0,0,0,0,0,0,999,0,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1441.94,intangible,-354.42,744.511,-113.551,238.385,1.33612,-170,-6.57777,-19.7197,100,0,0,0,0,1,144.327,689.008,68.0312,533.668,100,0,0.0124512,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.766332
1441.99,intangible,-343.421,744.573,-119.18,239.996,1.38057,-8.4,-6.77959,-22.4364,100,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1442.03,intangible,-334.301,744.626,-120.077,239.996,1.38057,-38.8,-6.91398,-26.2036,100,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1529.31,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0166016,1,0,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.305317
1529.67,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0166016,1,0,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.305317
1529.97,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0166016,1,0,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.305317
1530.09,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0124512,1,0,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.305317
1530.32,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0124512,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.505317
1530.42,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0166016,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.505317
1530.53,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0124512,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.505317
1531.22,intangible,3044.05,623.037,-166.61,0,0,0,166.045,2.76413,100,0,0,0,0,1,2276.34,827.203,-187.969,794.683,2280,0,0.0124512,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.505317
1531.47,intangible,3044.68,625.758,-166.475,14.048,61.4134,0,167.286,1.04931,100,0,0,0,0,1,2356.52,782.884,-187.969,706.199,3986,1,0.0166016,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.593801
1531.57,intangible,3047.07,637.01,-165.962,28.7666,140.842,0,169.913,1.09717,100,0,0,0,0,1,2358.39,770.09,-187.969,701.766,3986,1,0.0166016,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.598234
1531.77,intangible,3053.93,676.563,-164.492,34.535,230.014,0,174.068,1.21471,100,0,0,0,0,1,2360.64,754.712,-187.969,698.072,3986,1,0.0166016,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.601928
1531.91,intangible,3057.93,704.891,-163.634,20.0964,121.121,0,176.788,1.29073,100,0,0,0,0,1,2361.13,751.378,-187.969,698.774,3986,1,0.0167236,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.601226
1532.06,intangible,3058.74,704.068,-163.461,-4.40621,-78.6551,0,176.028,1.31254,100,0,0,0,0,1,2361.14,751.356,-187.969,699.637,3986,1,0.0124512,1,1,0,8,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.600363
1567.99,intangible,-465.529,1387.01,68.0312,-25.1979,0.327422,0,4.8,0,100,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1903.64,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.02,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.05,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.09,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.12,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.2,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.26,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.3,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
1904.33,intangible,-358.28,2261.95,142.761,0,0,0,-5.15957,3.32426,1800,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,5,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
