timestamp,bot_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,view_yaw,view_pitch,health,armor,is_stuck,is_on_ladder,is_in_water,has_enemy,enemy_pos_x,enemy_pos_y,enemy_pos_z,enemy_distance,enemy_health,enemy_visible,time_since_enemy_seen,team_id,teammates_nearby,enemies_nearby,current_task,hunt_range,aggression_level,target_present,move_forward,move_right,turn_yaw,turn_pitch,attack_primary,attack_secondary,task_switch,jump,duck,walk,confidence,immediate_reward,total_reward
49.2429,Hextor,1212.03,765.622,-363.201,143.344,201.726,0,-179.211,-8.96845,100,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
49.322,Hextor,1222.63,782.359,-359.797,111.566,179.675,0,-178.634,-8.78236,100,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
49.4468,Hextor,1243.49,798.202,-353.098,188.575,83.0552,0,-178.162,-8.50743,100,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
49.5716,Hextor,1270.23,802.631,-347.969,224.561,2.11412,0,-177.982,-8.14848,100,0,0,0,0,0,0,0,0,0,0,0,999,1,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
120.079,Hextor,2250.77,1148.36,-33.8954,-68.8073,536.634,-49.6,38.9515,36.078,1648,0,0,0,0,1,2406.68,1274.4,-187.969,252.844,6540,1,0.0124817,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.24716
120.255,Hextor,2261.26,1167.97,-49.9164,63.4264,0,-123.6,36.0139,36.217,1648,0,0,0,0,1,2406.32,1274.4,-187.969,226.779,6525,1,0.0132523,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.27322
120.431,Hextor,2272.49,1167.97,-78.0594,63.4264,0,-194.4,38.2856,31.5271,1648,0,0,0,0,1,2405.92,1274.18,-187.969,202.886,6405,1,0.0166397,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.29711
120.631,Hextor,2285.3,1167.97,-125.489,63.4264,0,-275.2,41.23,20.1408,1648,0,0,0,0,1,2405.38,1274.18,-187.969,172.056,6390,1,0.0166397,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.32794
120.749,Hextor,2292.79,1167.97,-160.747,63.4264,0,-322.4,43.1075,9.01035,1648,0,0,0,0,1,2405.14,1273.95,-187.969,156.834,6375,1,0.0166397,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.34317
120.908,Hextor,2304.86,1171.55,-187.969,88.8987,90.9608,0,45.629,-3.15589,1648,0,0,0,0,1,2404.78,1273.72,-187.969,142.91,6255,1,0.0166397,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.35709
121.046,Hextor,2316.45,1197.11,-187.969,76.7747,241.409,0,42.904,-11.2845,1648,0,0,0,0,1,2404.45,1272.81,-187.969,116.08,6240,1,0.0169907,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.38392
121.197,Hextor,2328.02,1206.11,-172.634,81.7088,-6.28718,102.116,40.5835,2.36421,1648,0,0,0,0,1,2404.06,1272.58,-187.969,102.153,6210,1,0.0166397,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.39785
121.268,Hextor,2334.34,1205.14,-166.028,83.9743,-16.9369,71.7163,42.9453,7.04368,1648,0,0,0,0,1,2403.93,1271.3,-187.969,98.4944,6150,1,0.0124741,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.40151
121.31,Hextor,2337.89,1204.24,-163.369,84.6161,-23.6116,54.9163,44.4789,8.1882,1648,0,0,0,0,1,2403.87,1271.3,-187.969,97.2447,6150,1,0.0124893,0,2,0,2,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,1.40276
