timestamp,bot_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,view_yaw,view_pitch,health,armor,is_stuck,is_on_ladder,is_in_water,has_enemy,enemy_pos_x,enemy_pos_y,enemy_pos_z,enemy_distance,enemy_health,enemy_visible,time_since_enemy_seen,team_id,teammates_nearby,enemies_nearby,current_task,hunt_range,aggression_level,target_present,move_forward,move_right,turn_yaw,turn_pitch,attack_primary,attack_secondary,task_switch,jump,duck,walk,confidence,immediate_reward,total_reward
261.301,bling bling,-462,744,-91.9688,0,0,0,-7.18312,-5.85495,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
261.324,bling bling,-461.233,743.983,-91.9688,33.3418,-0.738258,0,-14.316,-10.7814,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.016,bling bling,125,433,68.0312,0,0,0,-0.04643,0.00927437,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.041,bling bling,124.472,433.029,68.0312,-25.161,1.40117,0,6.13164,0.00185651,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.07,bling bling,123.547,433.081,68.0312,-44.0318,2.45206,0,12.3098,-0.000242587,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.099,bling bling,120.509,433.25,68.0312,-81.7733,4.55383,0,19.5434,-0.00101169,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.124,bling bling,118.407,433.367,68.0312,-100.065,5.57249,0,30.4447,-0.00111038,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.153,bling bling,115.954,433.504,68.0312,-116.821,6.50558,0,43.8889,-0.000857716,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.182,bling bling,110.108,433.829,68.0312,-146.228,8.1432,0,57.3345,-0.000570984,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.207,bling bling,106.767,434.015,68.0312,-159.106,8.86033,0,75.4995,-0.000281256,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.236,bling bling,103.178,434.215,68.0312,-170.902,9.51723,0,95.7891,-8.90304e-05,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.261,bling bling,95.3381,434.652,68.0312,-191.605,10.6701,0,112.562,5.79754e-06,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.286,bling bling,90.2782,434.934,68.0312,-202.398,11.2712,0,127.506,4.94811e-05,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.315,bling bling,85.8565,435.18,68.0312,-210.557,11.7256,0,142.47,5.7898e-05,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.344,bling bling,81.2778,435.435,68.0312,-218.032,12.1418,0,153.352,4.85178e-05,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
358.369,bling bling,71.7012,435.968,68.0312,-231.149,12.8723,0,163.595,-0.255049,100,0,0,0,0,0,0,0,0,0,0,0,999,0,0,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
