timestamp,bot_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,view_yaw,view_pitch,health,armor,is_stuck,is_on_ladder,is_in_water,has_enemy,enemy_pos_x,enemy_pos_y,enemy_pos_z,enemy_distance,enemy_health,enemy_visible,time_since_enemy_seen,team_id,teammates_nearby,enemies_nearby,current_task,hunt_range,aggression_level,target_present,move_forward,move_right,turn_yaw,turn_pitch,attack_primary,attack_secondary,task_switch,jump,duck,walk,confidence,immediate_reward,total_reward
42.5422,iamblazed,930.098,2223.22,88.8024,223.262,156.236,-205.2,-10.9847,12.9366,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.5842,iamblazed,941.63,2236.12,74.2872,167.593,220.185,-255.6,-11.9608,12.2624,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.6258,iamblazed,946.667,2246.13,68.0312,100.883,235.953,0,-12.9529,11.3771,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.6674,iamblazed,948.665,2255.55,68.0312,30.4695,219.469,0,-14.0537,10.4941,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.755,iamblazed,945.387,2270.78,68.0312,-79.7753,170.624,0,-16.4511,9.75949,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.7966,iamblazed,940.589,2276.92,69.8921,-124.983,137.757,0,-17.4695,9.69271,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.8382,iamblazed,934.172,2281.56,73.7423,-161.306,101.003,0,-18.3322,9.74421,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.8798,iamblazed,926.521,2284.53,78.3326,-188.281,60.3825,0,-19.0042,9.93828,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.9423,iamblazed,914.57,2285.58,85.5031,-206.316,-4.51547,0,-20.002,10.3907,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
42.984,iamblazed,905.428,2285.29,90.9887,-194.064,10.6914,0,-19.636,10.816,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.0298,iamblazed,898.513,2287.14,95.1377,-178.056,60.6886,0,-19.4222,11.2527,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.059,iamblazed,892.194,2290.7,98.9287,-162.35,103.816,0,-19.4773,11.468,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.1053,iamblazed,887.029,2295.09,102.028,-148.479,137.211,0,-19.8146,11.8448,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.1468,iamblazed,880.849,2302.78,105.736,-129.603,176.354,0,-20.3546,12.0819,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.1884,iamblazed,875.938,2311.14,108.683,-112.727,206.174,0,-20.9899,12.2667,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.23,iamblazed,871.727,2320.6,111.209,-96.1277,231.31,0,-21.7392,12.4056,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.2716,iamblazed,868.208,2330.99,113.321,-79.6789,252.413,0,-22.5821,12.5029,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
43.3132,iamblazed,865.381,2342.16,115.017,-63.154,270.009,0,-23.5022,12.5618,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
44.1798,iamblazed,946.864,2581.15,71.6936,175.263,226.067,-42,-51.7187,4.5484,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
44.2214,iamblazed,954.225,2590.65,68.0312,175.263,226.067,0,-53.0449,4.12751,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
44.3133,iamblazed,974.831,2606.14,68.0312,233.552,120.404,0,-55.5208,3.70796,75,0,0,0,0,0,0,0,0,0,0,0,999,1,1,0,0,1024,80,0,1,0,0,0,0,0,0,0,0,0,1,0,0.1
